date,url,username,content,location,lanuage
2022-11-02 23:54:17+00:00,https://twitter.com/inimigo/status/1587956292337168384,inimigo,Augusto Santos Silva vai à Web Summit falar sobre o Governo reformista de José Sócrates que criou o computador Magalhães https://t.co/JMaRaHu9fL,,pt
2022-11-02 23:52:00+00:00,https://twitter.com/Cointelegraph/status/1587955717071306752,Cointelegraph,"From the Web Summit in Lisbon, Charles Hoskinson speaks on appreciating worthwhile blockchain projects. https://t.co/TJvfpkUzm8","New York, New York",en
2022-11-02 23:49:55+00:00,https://twitter.com/CoinPartner_/status/1587955191370125312,CoinPartner_,"バイナンスCEO、Twitterの仮想通貨決済にバイナンスペイ導入を提案

Web SummitでZhao氏は、「数百種類の仮想通貨を支払いとしてサポートすることは非常に簡単だ。私たちはすでにそれを実現するソリューションを持っている。バイナンスペイだ。」と語った。

#仮想通貨
 https://t.co/PpTQJDH7eJ",サロンの参加はこちらから(discord)↓,ja
2022-11-02 23:45:37+00:00,https://twitter.com/pedrocaeiro06/status/1587954109302427648,pedrocaeiro06,"Olena Zelenska in Lisbon for the Web Summit
#westandwithukraine 
#SlavaUkraini https://t.co/QvxNXIJKMN",,en
2022-11-02 23:41:37+00:00,https://twitter.com/observadorpt/status/1587953104045182978,observadorpt,Web Summit: Patrícia Mamona aponta ao regresso aos pódios em 2023 https://t.co/LnveXa3Ynu,Portugal,pt
2022-11-02 23:41:36+00:00,https://twitter.com/touchsoundart/status/1587953099817488385,touchsoundart,"Really happy to be included in this art project, Collective Ukraine, which launches a fundraiser auction at Web Summit 2022 on November 3. The exhibition and auction will also launch a new Ukrainian marketplace for NEAR NFTs.
#Cryptoart #Ukraine #WebSummit #NFTCommunity https://t.co/ZRK4FAQOcW",,en
2022-11-02 23:38:50+00:00,https://twitter.com/VisaPortugal3/status/1587952404007424007,VisaPortugal3,"世界中から人が‼️
Bom dia 🇵🇹
Web summit at Lisbon 絶賛開催中‼️
これぞスマートシティ、ポルトガルがデジタル最先端であることの証左✨‼️
#ポルトガル #海外 #移住 #スマートシティ #ヨーロッパ #リスボン #websummit https://t.co/DahNdgfnSN","Azores,Portugal",ja
2022-11-02 23:36:56+00:00,https://twitter.com/iristenteije/status/1587951927677132800,iristenteije,web3 side events &gt; web summit. @StripDAO https://t.co/in1xSpEPjN,London,en
2022-11-02 23:34:15+00:00,https://twitter.com/RashTierney/status/1587951248745140226,RashTierney,@PeterSmartpower @ciananbrennan Here is a Web Summit board meeting. https://t.co/QVeIg27seW,Dublin,en
2022-11-02 23:25:46+00:00,https://twitter.com/y0rd9/status/1587949117535395841,y0rd9,"LinkedIn posts for the next few days: web summit, Web Summit, WEB, SUMMIT... web...summit, #WebSummit","Lisboa, Portugal",en
2022-11-02 23:25:33+00:00,https://twitter.com/TokenJay/status/1587949063219326977,TokenJay,"Web Summit Lisbon, Nov. 2: Latest updates from Cointelegraph’s team on the ground https://t.co/Nbf3MxmyI8 https://t.co/YD0tXGHuer",Earth,en
2022-11-02 23:19:48+00:00,https://twitter.com/WhyetMaggie/status/1587947615198777344,WhyetMaggie,Pushing crypto adoption at Web Summit in Lisbon. https://t.co/9KEtQIdjge,,en
2022-11-02 23:18:55+00:00,https://twitter.com/natjpearce/status/1587947389993844738,natjpearce,"So while it’s great to see so many more talks on DEI at Web Summit this year than when I last came in 2019, I’d really love to see the dynamic of the audiences change at talks on these important topics, too.

🧵6/6","London, England",en
2022-11-02 23:18:14+00:00,https://twitter.com/AlinaAntropovaa/status/1587947218258071553,AlinaAntropovaa,"It was such an awesome and crazy day!!

1/4 days of the Web Summit is ✅

You already know what to do tomorrow;)

See ya✌🏼

#Polkadot_in_Lisbon https://t.co/fF1OxveIUu",The earth🌍,en
2022-11-02 23:16:57+00:00,https://twitter.com/NFTLuxLife/status/1587946895522996224,NFTLuxLife,@LudoWeb3 I have some friends in Lisbon at the Web Summit,Art and Artist Platform,en
2022-11-02 23:15:05+00:00,https://twitter.com/olivierleplus/status/1587946426352517122,olivierleplus,"@kennethrohde Wait, Portugal... Are you at the Web Summit!?","Paris, France",en
2022-11-02 23:14:32+00:00,https://twitter.com/PauloRCLopes1/status/1587946286749462528,PauloRCLopes1,"My first day at the Web Summit Lisbon has blown me away with its size and what it means. It brings 70.000 people together. 😮 
Every big company has a huuuge booth plus a stage of its own with world-renowned speakers talking about various topics which are…https://t.co/QFsJMJsbxd","Oulu, Suomi",en
2022-11-02 23:13:09+00:00,https://twitter.com/Forbes_Portugal/status/1587945941025398786,Forbes_Portugal,Delta Cafés marca presença na Web Summit https://t.co/Bf1Lel15qs,"Lisboa, Portugal",pt
2022-11-02 23:10:27+00:00,https://twitter.com/sonya_vasylyeva/status/1587945262214963200,sonya_vasylyeva,"day 1 of the Web Summit @Toma_Sadova 👀🤍 
#Polkadot_in_Lisbon https://t.co/jQUErYzBEx",,en
2022-11-02 23:02:06+00:00,https://twitter.com/SGLpool/status/1587943160872927234,SGLpool,Web Summit 2022 🇵🇹 https://t.co/rpmClA8uxV,,en
2022-11-02 23:01:36+00:00,https://twitter.com/MetaversoInfo/status/1587943035635175424,MetaversoInfo,"WEB SUMMIT: Unicórnios em extinção; CVCs (how to behave); Climate techs; Alexa everywhere?

Ajuda aí, nos segue!

#metaverso #metaversobrasil #meta

https://t.co/V8ShYxGQFR",,pt
2022-11-02 23:00:03+00:00,https://twitter.com/outtawraith/status/1587942645644464128,outtawraith,リスボンで開催されたWeb Summitで、BinanceのCEOであるChangpeng Zhao氏が、なぜクリプトプロジェクトが弱気市場で開発を続けることが重要なのかという見解を示しました。,"San Francisco, CA",ja
2022-11-02 22:55:18+00:00,https://twitter.com/moderndosh/status/1587941450435551232,moderndosh,@HammerToe @truckerfling @ZakAyesh See you at web summit,,en
2022-11-02 22:54:08+00:00,https://twitter.com/AdamFlinter/status/1587941154884308992,AdamFlinter,Enjoy Web Summit Champ! https://t.co/XBpwSUixUX,🇸🇬 + 🇬🇧,en
2022-11-02 22:48:57+00:00,https://twitter.com/ciarandelaney/status/1587939849889193984,ciarandelaney,@realBobbyHealy Didn’t realize the Web Summit was on TV,Dublino,en
2022-11-02 22:42:31+00:00,https://twitter.com/markstanley/status/1587938233010163713,markstanley,@higginsdavidw Irish people have made a new sport out of watching Web Summit fail. It’s like watching England lose a game. Great craic and never ending pleasure for us.,"ÜT: 53.384142,-6.168136",en
2022-11-02 22:36:44+00:00,https://twitter.com/ruyandre/status/1587936777355919360,ruyandre,Já começaram a publicar os badges do web summit? #tugão #twitterportugues,"Montalegre, Portugal",pt
2022-11-02 22:36:37+00:00,https://twitter.com/AnAthenianToLDN/status/1587936745127284738,AnAthenianToLDN,"Αγαπητοί @Pierrakakis @th_livanios @DimosthenisAnag @christopoulosgr @staverisT 

Του χρόνο, το Web Summit, φέρτε το στην Ελλάδα!","London, England",el
2022-11-02 22:35:07+00:00,https://twitter.com/benbvi3ws/status/1587936370173018115,benbvi3ws,"TRANSLATION :
Instead of investing in technology, Ukrainians buy generators, - Olena Zelenska at Web Summit 2022
  
The First Lady of Ukraine delivered a speech at the opening of the international tec 
Source : https://t.co/U3TILAcSi2 
Media link : https://t.co/hXKtOSsb1n",🐦 since 2006 🌊🇧🇪🇵🇹,en
2022-11-02 22:32:19+00:00,https://twitter.com/expresso/status/1587935663386755074,expresso,"Startup do Reino unido venceu a competição organizada pela KPMG, com o apoio do Expresso, que procura descobrir e divulgar os principais inovadores tecnológicos. Final decorreu esta quarta-feira, durante a Web Summit https://t.co/u5Mc7rY5vK","Lisboa, Portugal",pt
2022-11-02 22:30:47+00:00,https://twitter.com/gchahal/status/1587935280551657473,gchahal,"""Is it (CBDC) a threat to Binance or other crypto-currencies? I don’t think so. I very much think that the more we have, the better,"" Changpeng Zhao told a news conference during Europe's largest tech conference, the Web Summit, in Lisbon.","Hong Kong | Bay Area, USA",en
2022-11-02 22:28:09+00:00,https://twitter.com/edward15148716/status/1587934615662100481,edward15148716,"@BowesChay @aaronjmate said all this, but your mate Paddy banned him from the web summit.",,en
2022-11-02 22:26:51+00:00,https://twitter.com/DermotJRegan/status/1587934288397316096,DermotJRegan,@alireza29675 @WebSummit No. Definitely not worth it. Web summit is a massive scam,"Dublin City, Ireland",en
2022-11-02 22:24:34+00:00,https://twitter.com/acidadebranca/status/1587933713274671104,acidadebranca,"O Sr. Estado da Costa ofereceu os 782 aos participantes do Web Summit. 

Os Portugueses são uma espécie de contas gratuitas do Twitter. 

É. Não é?","Lisboa, Portugal",pt
2022-11-02 22:24:10+00:00,https://twitter.com/BrunoTheRaveMan/status/1587933611839213569,BrunoTheRaveMan,"If you told me that I would be watching David guetta at web summit and it would be the best crowd I’ve seen at one of his concerts I would’ve told you are lying. But it’s true.

Business people + David Guetta + Alcohol = best crowd ever 

Thanks @RapydGlobal  🤍🙏🏼","38.529237681338685, -8.8905509",en
2022-11-02 22:19:41+00:00,https://twitter.com/PAdugout/status/1587932486851518464,PAdugout,"Tebas was in Lisbon on Wednesday for Web Summit, where new A22 Sports Management chief executive Bernd Reichart was also present

✍️ @GeorgeSessions

https://t.co/4sA11dD9hu",,en
2022-11-02 22:18:31+00:00,https://twitter.com/theblazetrends/status/1587932193644597250,theblazetrends,"Alexa, OnlyFans, Metaverse and Revolut: Day 1 of Web Summit 2022 https://t.co/nXmIMz6fDb",,en
2022-11-02 22:18:05+00:00,https://twitter.com/StrawberryNG/status/1587932083338739713,StrawberryNG,Cardano founder Charles Hoskinson shared lessons on the collapse of Terra and the future of crypto with Cointelegraph at the Web Summit conference in Portugal. https://t.co/nvieUXgkVP,Nigeria,en
2022-11-02 22:18:05+00:00,https://twitter.com/madzmonz/status/1587932081719742464,madzmonz,"Web Summit Lisbon, Nov. 2: Latest updates from Cointelegraph’s team on the ground https://t.co/IieUbpgqWi via @cointelegraph",Earth,en
2022-11-02 22:16:55+00:00,https://twitter.com/SRBinPortugal/status/1587931790605709312,SRBinPortugal,Onze start-ups da Sérvia 🇷🇸 marcam presença na @Websummit deste ano. No primeiro dia da Web Summit visitámos algumas delas #Teamsy #Pro_Se. Desejamos-lhes muito sucesso no seu trabalho 🤝 https://t.co/bpqE4OXHE2,Lisboa,pt
2022-11-02 22:11:25+00:00,https://twitter.com/AnaPapri/status/1587930405339947008,AnaPapri,@pedrojdoc Web summit?,"Almada, Portugal",en
2022-11-02 22:09:07+00:00,https://twitter.com/ReflexesDoe/status/1587929826941603841,ReflexesDoe,@FabrizioRomano Fabrizio why weren’t you at web summit,,en
2022-11-02 22:04:58+00:00,https://twitter.com/g0obie_pt_gv/status/1587928783637684226,g0obie_pt_gv,yoooo as a person who always dreamt of going to web summit... the start ups were shit... even worse than ICK funded start ups...,,en
2022-11-02 22:01:11+00:00,https://twitter.com/observadorpt/status/1587927830238633984,observadorpt,"Costa passeou, o denunciante da Uber voltou a andar de táxi e o OnlyFans deixou de ser só para adultos. O dia 2 da Web Summit https://t.co/k5DiaPKEA8",Portugal,pt
